evaluation,feasible,selected,search_score_mm,combined_rmse_mm,tip_rmse_mm,wrist_rmse_mm,bottleneck_rmse_mm,record_type,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
778158,True,True,79.36497081226929,77.02298549583952,79.8551462641689,74.08263092326568,79.8551462641689,balanced_tested_sample,-0.7485643158843357,0.29648716955599397,-0.6681004616333369,0.7463505738816251,-1.12010157108693,-0.39246764967115366,-0.09515038181006001,-0.778588333739526,-0.10597061827930856,0.43380686283975595
778913,True,False,158.456284505565,126.7436446230074,159.84415408029528,81.1033249071899,159.84415408029528,balanced_tested_sample,-0.399164838127312,0.2521802660327264,-0.5774072625793412,0.38651969154806054,-0.8938682032344093,0.06224910367440664,-0.10970155515140217,-0.693094166885108,-0.5075839007666277,0.7536521027863686
779690,True,True,74.19369206393301,72.36489104407991,74.62460137914034,70.03230526441008,74.62460137914034,balanced_tested_sample,-0.7254617022524339,0.25132510066377767,-0.6271211849105539,0.6744322277556503,-1.0875957957468632,-0.39986377875845286,-0.0512711980088801,-0.7650206891847181,-0.17214910911507517,0.43852281875932664
780430,True,False,407.3694702951863,296.5016333341874,411.44687006534633,80.85734507830327,411.44687006534633,balanced_tested_sample,0.5632672209179652,0.3319553966435207,-0.05452202742699839,1.6279057884006192,-0.48146487596084775,-0.3789433054764275,0.06655711312669191,-1.7524475154662258,0.2546855925350131,-0.3433083264861929
781157,True,False,111.441548637275,97.42972155736837,112.13371344447016,80.06954224076787,112.13371344447016,balanced_tested_sample,-0.6074851001738539,0.6120040752014043,-0.6554768573566595,0.6984247195013857,-1.2027124829064952,-0.5101254454007104,0.23476049394707782,-0.7912547242537912,0.21489697355655463,0.49145000974306613
781808,True,True,81.31605381522279,76.1642228020414,81.84466970076664,70.02447937436177,81.84466970076664,balanced_tested_sample,-0.8495268368348288,0.3319773217518807,-0.6081794134577291,0.9409186215449481,-1.1363852059055397,-0.4216984786964733,0.1060993908704893,-0.7753399589816558,-0.16039303946434047,0.6722479376183682
782414,True,False,91.33113561692645,83.0114812465049,91.96675210888264,72.96525573189612,91.96675210888264,balanced_tested_sample,-0.7393047082093297,0.3150493207932668,-0.5460131175361139,0.702259147864799,-1.0456174888351781,-0.3732177636713842,-0.044492625888157736,-0.7419747382135855,-0.0844738160139885,0.4564968970556311
783039,True,True,82.7116981530542,77.32449537750334,83.18128107054544,70.98612294127628,83.18128107054544,balanced_tested_sample,-0.49403042608140313,0.08564233409052492,-0.5839383779039053,0.5221581184936098,-1.232331597210277,-0.32841475116321767,0.0966178789186683,-0.5657317613407138,-0.21416556970134393,0.23730864886658073
783735,True,True,79.47302468012313,76.59045015392996,79.98409694931813,73.03929315625486,79.98409694931813,balanced_tested_sample,-0.5172153830857833,0.09561889401717381,-0.3856387607024425,0.44331048286788716,-1.1520000810973514,-0.3539893856125041,-0.011583957877475048,-0.4390467314852231,-0.138785869798763,0.10495747314724663
784547,True,True,77.89921929913193,74.99347631944492,78.24111476251471,71.59867974808822,78.24111476251471,balanced_tested_sample,-0.4963914909935901,0.07414100383042407,-0.5219920403191376,0.45933001874751767,-1.2040194253079477,-0.3680939142537551,0.0644692733603755,-0.5805288718292928,-0.18971853719078371,0.27213417470369233
785454,True,False,333.4230406698481,244.042220317463,336.6931072527259,75.83509822937361,336.6931072527259,balanced_tested_sample,-0.4303729631587938,-0.08714916964143746,-0.005570420458107122,0.44220393435118827,-1.2759755693592514,-0.48698044351507225,0.36882099143263647,-0.40805118186312467,-0.09406268853992389,1.6494540639232023
786313,True,False,178.46945025638394,140.57108668054207,179.94140980632633,84.50769111748741,179.94140980632633,balanced_tested_sample,-0.5616177050680821,0.21052765496519776,-0.4623004454477039,0.6099510186466107,-1.2127109216860454,-0.35855613418657845,-0.03934977771321345,-0.32464337599494764,0.33959647152182965,0.7802949234425357
787144,True,False,131.43989486673706,112.1399355625608,132.45786290511876,87.21034829972493,132.45786290511876,balanced_tested_sample,-0.560435786319761,-0.27764103328021333,-0.3928297609090357,0.06789631383423014,-1.172537918296016,-0.3533991024568966,0.11419150565387973,-0.6090221579596402,-0.37415529955827603,0.03380641658260612
787833,True,False,95.06642874633522,84.832786981478,95.60740883693497,72.47362878714446,95.60740883693497,balanced_tested_sample,-0.4512118737754829,0.032327060892975275,-0.5725725536134458,0.41898838774824787,-1.2449382914086726,-0.23236487438248987,0.12197741282601997,-0.5859673513707215,-0.4089508087030646,0.3124381544754202
788590,True,True,312.22478042050756,228.3465044777471,315.24540821552296,70.03274101047214,315.24540821552296,balanced_tested_sample,-1.044476643541676,0.30279559555890073,-0.9813160039805265,0.5583346403712023,0.2075006728100929,-0.28800724743572126,0.03781608275032704,-0.5056909085412307,-0.42543362688913144,0.21646606905313584
788971,True,True,198.19748214093727,153.67496749468654,199.91569610478243,85.23910909861871,199.91569610478243,balanced_tested_sample,0.9747523566597728,-1.1160495162871549,-1.5364167040313559,1.1710262720197073,1.5212480735702612,-1.4746184380379628,0.3047589522824311,-0.5607060151818555,-0.9581820264688665,0.05132568833321353
789582,True,False,241.61869108579637,190.73087506918094,243.62745467643444,115.76785709856121,243.62745467643444,balanced_tested_sample,1.1538468824631007,-2.0825064597128438,-0.6367420887999533,-0.324380457220116,1.432351162635807,-1.8502082526262915,-0.4570580522943002,-0.03027246759694478,-0.9186262020520323,-0.8557870624865558
790383,True,False,239.46030995826283,181.50250956487636,241.6605879091796,86.52446017217184,241.6605879091796,balanced_tested_sample,0.17673752866174064,0.2998498455995206,-0.7566179915412965,0.44437926642926473,1.229561064750588,-1.7425394921878157,-0.20062857333461787,-0.980115362839395,-0.8752321890909491,0.8379395072127785
791277,True,False,246.9066173437239,189.2643294811259,248.8980666670568,98.4465603120887,248.8980666670568,balanced_tested_sample,1.4663201836064337,-1.7163802959583478,-1.457839431147228,1.597919486824947,1.42711545846102,-1.116909197002986,0.2430770562519317,-1.6271910531855591,-1.6655320951616772,-0.1665022029740558
792171,True,False,414.8024943616192,330.15330984777336,418.8071275564837,206.40495612936925,418.8071275564837,balanced_tested_sample,4.71964393450089,-2.4016612843572376,0.8635434270323555,-1.3615112004347574,1.933126728479297,-2.498096237773958,-1.6121337006837473,1.1369075000470992,-0.12273820515637365,0.3763379983630711
793065,True,True,183.6514793545227,144.49603185737627,185.14668462392643,86.48070084026911,185.14668462392643,balanced_tested_sample,1.3134221170711886,-1.269856769173775,-1.7848989587904676,1.6680223805785854,1.433892898922959,-1.5345676756417488,0.1184470345684525,-0.673621666374608,-1.0447199852169318,0.19456280663775036
793825,True,False,207.13398868921442,161.21074013649124,208.98254528215668,91.12684147989526,208.98254528215668,balanced_tested_sample,1.1559573811396449,-1.3535850035085188,-1.7919997588316374,1.5997341587891352,1.7267658934238506,-1.3023768407265917,0.054695791525876475,-0.981966900480581,-1.3695266940956412,0.32545611948570546
794565,True,False,243.4677836214775,182.13375460743214,245.77327405987063,77.07727870580491,245.77327405987063,balanced_tested_sample,1.3579733406874517,-1.5635622809685181,-1.373155660643085,1.9801014701996413,1.3661909990697225,-1.36632575430762,-0.22476199537727165,-0.9272364234967158,-1.3366510436142607,0.3219719287201352
794836,True,False,51.27126697000717,50.922247403848644,51.037621404177685,50.80661140758518,51.037621404177685,balanced_tested_sample,-1.8467890989218576,0.6981196905586763,-0.0002538040564929602,-0.3915874127610669,0.30652656404503115,0.6699003761327704,-0.13911430260824215,0.21313137539883287,0.046781429833957854,-0.08644860316982203
