phase_index,phase_equal_arc,wrist_x_mm,wrist_y_mm,wrist_z_mm,tip_x_mm,tip_y_mm,tip_z_mm
39,0.51315789473684215,-230.02407880794181,27.414685860552353,72.839331617481122,-605.43344457264448,160.22060988011756,320.84761473352012
40,0.52631578947368418,-231.96102368471094,25.359890589420971,62.799079072026728,-620.54089734093338,164.34648456539654,286.49180122192075
41,0.53947368421052633,-233.09363686596859,23.373589715672903,52.562050200593362,-633.80743660165274,167.57428387041031,251.30748265831545
42,0.55263157894736847,-233.48960295576597,21.444543776593694,42.147290294307417,-645.13414214264185,170.03140590884649,215.42268561617911
43,0.56578947368421051,-233.23225135259412,19.565554327595375,31.583043495430857,-654.48019350983213,171.83518045106416,178.97271185101178
44,0.57894736842105265,-232.39846903769606,17.734322591002876,20.900555928498221,-661.80699760076868,173.0736964883541,142.08015005667031
45,0.59210526315789469,-231.06694647242875,15.952117152479493,10.135304827259914,-667.09905247942959,173.81776500908214,104.86342523701275
46,0.60526315789473684,-229.31733600884274,14.223235672812951,-0.67409175693385526,-670.3646503352644,174.12250402077163,67.435403667508368
47,0.61842105263157898,-227.23040862092509,12.554097204459243,-11.487354138390838,-671.64651547312144,174.03055513099935,29.901411701996025
48,0.63157894736842102,-224.88161322626647,10.953513073098588,-22.26400323934724,-670.99195213554015,173.56768464472756,-7.6443636607627363
49,0.64473684210526316,-222.34286899468867,9.432150155935215,-32.963523943372508,-668.46003804135501,172.74623025860839,-45.1176473023597
50,0.65789473684210531,-219.68178511274357,8.0027465919021239,-43.545086953674307,-664.11162533657637,171.5643844742323,-82.443171848720482
51,0.67105263157894735,-216.9624486380109,6.6795418937047062,-53.968107596594521,-658.01819510697726,170.0087593670834,-119.55469556269551
52,0.68421052631578949,-214.24453186627085,5.4784200164742707,-64.192038586763005,-650.2543095927108,168.05375700916784,-156.39408986590718
53,0.69736842105263153,-211.5837118362212,4.4176767412748505,-74.174750161442887,-640.88813188034237,165.6595131334447,-192.90822341982721
54,0.71052631578947367,-209.03265634022554,3.5184151710421161,-83.871364318637731,-629.98239286261992,162.77112016794604,-229.04655841325965
55,0.72368421052631582,-206.64196124374129,2.8053500895928849,-93.232398028542804,-617.59265325980903,159.31627130226829,-264.75787919570803
56,0.73684210526315785,-204.46120209570225,2.307909058036405,-102.20130686226071,-603.76605855646471,155.20173566770325,-299.98616545518223
57,0.75,-202.54005784633938,2.0617058440619025,-110.7112242777911,-588.5405451599114,150.30837172989925,-334.66512095046528
58,0.76315789473684215,-200.93128962487137,2.1122247614471479,-118.67738463613107,-571.93783171424502,144.47873774587973,-368.70682369846321
59,0.77631578947368418,-199.69362545279165,2.5193254156778382,-125.98743229326449,-553.96299130525085,137.50113262919669,-401.98612565024672
60,0.78947368421052633,-198.88539492591008,3.3539522838845479,-132.50498351494352,-534.63315224640951,129.11886005260467,-434.33634482278148
61,0.80263157894736847,-198.58414237418464,4.722580002742097,-138.01930078950102,-513.92791150623589,118.94820594840601,-465.47347594888009
62,0.81578947368421051,-198.88055186507307,6.7717559446685343,-142.22486441220701,-491.84321682092087,106.46008807151901,-494.93260334783503
63,0.82894736842105265,-199.87052393116039,9.6938551927567964,-144.6861635519731,-468.45371394020555,90.963916184039235,-521.94541921737493
64,0.84210526315789469,-201.66210877805597,13.765796413555259,-144.69966987643969,-444.02473364829211,71.489788354748868,-545.06229481130049
65,0.85526315789473684,-204.26848154337134,19.246222239323835,-141.37555950708551,-419.44266601742004,47.195076052986238,-561.89640950203682
66,0.86842105263157898,-207.4426240038716,26.136253118567609,-134.00009177500894,-396.67296922807594,18.281298695024375,-569.29629319413959
67,0.88157894736842102,-210.58540358870607,33.856353799479315,-123.0065497619192,-378.11081522264192,-12.934916642260836,-565.69808161247306
68,0.89473684210526316,-213.1325765612913,41.616038063478946,-109.84449641459823,-364.65483034344516,-43.571734228454751,-552.74879048116156
69,0.90789473684210531,-214.87864792849817,48.97503823905015,-95.794799097228108,-355.49460769617866,-72.196925316919291,-533.43746787291775
70,0.92105263157894735,-215.83922954405611,55.818077580766079,-81.520562891409995,-349.49260338759285,-98.557483268934163,-509.97708920599229
71,0.93421052631578949,-216.08611247278475,62.15182129812505,-67.31723918132198,-345.75753726470964,-122.78987125318918,-483.69644775645799
72,0.94736842105263153,-215.69747312316204,68.017079629794793,-53.313556566316386,-343.64717804338892,-145.11318255414378,-455.40015253138682
73,0.96052631578947367,-214.74821968193999,73.46187234877047,-39.560828637869328,-342.70044572004292,-165.74618204167001,-425.60027166072763
74,0.97368421052631582,-213.28800644174723,78.517556592459272,-26.084954319449551,-342.61298367570009,-184.82545067541244,-394.59747005442091
75,0.98684210526315785,-211.36092601898457,83.210896925491639,-12.897390754029646,-343.15230414696782,-202.46082674018268,-362.60339032738511
