phase_index,target_tip_x,target_tip_y,target_tip_z,generated_tip_x,generated_tip_y,generated_tip_z,target_wrist_x,target_wrist_y,target_wrist_z,generated_wrist_x,generated_wrist_y,generated_wrist_z
44,-661.8069976007687,173.07369648835413,142.08015005667036,-631.9910136578412,142.97908810579736,137.83265032628137,-232.3984690376961,17.734322591002872,20.90055592849822,-196.2120236826513,30.307128645668467,18.57734952239155
45,-667.0990524794297,173.8177650090821,104.86342523701276,-639.2461599123719,145.2159927485331,101.14728508470441,-231.06694647242875,15.9521171524795,10.135304827259912,-197.17719348945027,29.405034176114377,8.291482429712804
46,-670.3646503352645,174.12250402077166,67.43540366750837,-643.0673490356419,148.35028437336717,63.80054417670727,-229.31733600884274,14.223235672812955,-0.674091756933862,-197.6673695912133,28.743910892343536,-1.195644220387564
47,-671.6465154731216,174.0305551309993,29.901411701996018,-646.355157568231,151.57066603600686,26.37808063558365,-227.23040862092512,12.554097204459234,-11.487354138390842,-198.09389658846916,28.11434085231694,-10.563157383652054
48,-670.99195213554,173.5676846447276,-7.644363660762739,-645.8511303587396,155.00249394990288,-11.379727653636216,-224.88161322626644,10.953513073098591,-22.264003239347254,-198.14406994540605,27.66492380126079,-19.113785160834603
49,-668.4600380413551,172.74623025860836,-45.11764730235971,-644.7777390880565,158.3458241349353,-49.128746965922964,-222.34286899468867,9.43215015593522,-32.963523943372515,-198.15502963317982,27.233260658649282,-27.554692637476442
50,-664.1116253365765,171.56438447423227,-82.44317184872048,-640.0057840585514,161.11427698747843,-86.82067347278473,-219.68178511274354,8.002746591902135,-43.54508695367432,-197.9112590604712,26.916926120047727,-35.28286189467844
51,-658.0181951069774,170.00875936708337,-119.55469556269554,-634.5311330837151,163.62437376169538,-124.41937579251041,-216.96244863801087,6.679541893704708,-53.96810759659454,-197.63508252708158,26.614397816777384,-42.89181292409905
52,-650.2543095927108,168.05375700916778,-156.39408986590723,-625.4478224411775,164.80769589610532,-161.53932999022695,-214.24453186627085,5.478420016474278,-64.19203858676303,-197.19248681327747,26.38277074032312,-49.888524743790974
53,-640.8881318803424,165.65951313344465,-192.90822341982724,-615.5728558922965,165.52664519343733,-198.4387267879961,-211.58371183622117,4.417676741274872,-74.17475016144292,-196.72696224181578,26.160303979717142,-56.766273409045176
54,-629.9823928626199,162.77112016794598,-229.0465584132597,-602.3466219359966,164.2797940194793,-234.4044517467928,-209.03265634022557,3.51841517104212,-83.87136431863777,-196.16437437209328,25.976615010949804,-63.140422797193956
55,-617.592653259809,159.31627130226826,-264.7578791957081,-588.137863209184,162.21960161994997,-269.9055781326566,-206.6419612437413,2.8053500895928796,-93.23239802854283,-195.58736622167802,25.798748578220188,-69.37965912692042
56,-603.7660585564647,155.2017356677032,-299.98616545518234,-571.1599927492748,157.8671181776554,-304.09729696148054,-204.46120209570222,2.3079090580363957,-102.20130686226074,-194.96971648169753,25.637292167245093,-75.23866144704505
57,-588.5405451599113,150.3083717298992,-334.66512095046534,-552.8542111531877,152.02538025326385,-337.29619634271677,-202.5400578463394,2.0617058440618896,-110.71122427779113,-194.35267395796313,25.478822547491934,-80.92046102553527
58,-571.937831714245,144.4787377458797,-368.70682369846327,-532.7104799807003,144.12237891300737,-369.1209434682622,-200.93128962487134,2.112224761447158,-118.67738463613111,-193.73647187664372,25.32448691796723,-86.35699592098251
59,-553.9629913052509,137.50113262919666,-401.9861256502468,-510.8488287742912,133.59046003591172,-398.93565521457487,-199.69362545279165,2.519325415677857,-125.98743229326456,-193.15953441859548,25.172372767420484,-91.54658705213384
60,-534.6331522464095,129.11886005260465,-434.3363448227816,-488.02919368287434,121.43697736416101,-427.45990509713135,-198.88539492591002,3.35395228388456,-132.50498351494355,-192.61479104301094,25.022895873890462,-96.58959360110714
61,-513.9279115062359,118.94820594840598,-465.47347594888015,-463.75587247045553,106.06212318451007,-453.19668989161414,-198.58414237418464,4.72258000274211,-138.01930078950107,-192.16926029214392,24.88425941776907,-101.36675054830849
