call,round,region_id,evaluation_start,evaluation_end,evaluation_cost,before_score,after_score,before_tip_mm,before_wrist_mm,before_combined_mm,before_p64_mm,after_tip_mm,after_wrist_mm,after_combined_mm,after_p64_mm,gain_mm,accepted,cumulative_accepted_gain_mm,status
31,35,415,2598666,2602928,4262,55.52875712610141,52.487438694632765,55.094909231076564,55.254035584272984,55.17452977383981,55.778931313102554,52.062754917099326,52.22504180147838,52.14396149471248,52.715722455610916,3.041318431468646,True,102.76024122720304,completed
32,36,421,2708750,2708913,163,56.85792097089826,56.48276644362611,56.549530139123526,56.515110913632476,56.532323145859756,57.14808394967377,55.94232626765798,56.33090540877922,56.13695205659962,56.769144541102925,0.3751545272721515,True,103.13539575447518,completed
33,37,433,2808945,2809108,163,58.24470170280382,58.17495198348724,57.6448246794815,58.149536928992426,57.89773077325403,58.56222380577165,57.62852013203318,58.04779845582394,57.83853921986667,58.49195939762922,0.06974971931658303,True,103.20514547379176,completed
34,38,447,2896146,2896309,163,57.562137864628404,57.3996872960611,57.449655203289936,56.95434074453208,57.20253408993856,57.85860543034323,57.15113250524626,56.98778200978397,57.06951570246095,57.694619880174585,0.16245056856730145,True,103.36759604235905,completed
35,39,461,3000168,3000331,163,58.598728924568555,58.286611107013655,57.709165814289115,58.58685635514872,58.14966705218502,58.88283264165501,57.101506415785785,58.366348034404986,57.73739090842829,58.567316083902924,0.3121178175548991,True,103.67971385991396,completed
36,40,474,3081496,3085076,3580,57.25730387601806,55.20300915182121,56.759674874112726,57.047357360427206,56.90369791860311,57.53468325656282,54.97724379892649,54.73901332474458,54.8582578810755,55.463704097097974,2.0542947241968434,True,105.7340085841108,completed
37,41,484,3202216,3205239,3023,55.03497115207255,53.687001730726635,53.88328598708063,55.11316706919251,54.50169581381044,55.29585473482599,53.127494539429236,53.53221798590872,53.33024019507099,53.934796825590176,1.3479694213459155,True,107.0819780054567,completed
38,42,497,3283551,3283714,163,53.078082420385606,52.98318356314228,52.08404803478824,53.1093608430192,52.599202792647674,53.31926915096278,52.20571769277338,52.93847964940888,52.57337533109526,53.22333691291697,0.09489885724332225,True,107.17687686270003,completed
39,43,515,3394001,3394164,163,57.9288688024971,57.845322451424295,56.99135041071287,57.91684239515522,57.455959893913146,58.19353792420324,57.00255867116442,57.796799672637455,57.4010528973926,58.10951254638618,0.08354635107280473,True,107.26042321377284,completed
40,44,531,3484019,3484182,163,59.03735298171084,58.9525536608723,58.190429389885296,59.01844788449397,58.60590099671686,59.332745697405194,58.156878307856566,58.911995302088705,58.5356544551616,59.247292438948676,0.0847993208385418,True,107.34522253461138,completed
41,45,540,3584788,3585073,285,57.73593458852518,57.211667811579495,56.880655908283124,57.726462738815385,57.30511982751779,58.023475842304144,56.71403333510129,57.00879021351352,56.861602768227414,57.49270068925825,0.5242667769456872,True,107.86948931155706,completed
42,46,553,3653546,3653969,423,56.89176982316667,56.49316597913165,56.6498554377403,56.32468689716386,56.48750514574182,57.11719556036929,56.15847675523637,56.03531212268254,56.096928241013686,56.7099005339677,0.3986038440350157,True,108.26809315559208,completed
43,47,566,3757182,3757345,163,57.250444462488495,57.110660430072805,57.00384768597672,56.81529701623207,56.90965043843049,57.53424082532151,56.635557429679906,56.894472521737974,56.76516259510479,57.39251384469635,0.13978403241569026,True,108.40787718800777,completed
44,48,575,3844380,3844543,163,55.53097371090561,55.37206922734746,55.12751741843956,54.98935426861081,55.05847918168074,55.66074000000853,54.908612245541356,54.89679051355989,54.902701697734756,55.500572863607196,0.15890448355815323,True,108.56678167156593,completed
45,49,589,3966582,3966745,163,54.844987211187785,54.77291386714785,54.39772176010827,54.352132399086244,54.37493185751113,54.96733546476289,54.24438822988623,54.36315691857048,54.30380504434168,54.89716810833308,0.0720733440399357,True,108.63885501560587,completed
46,50,605,4085409,4085572,163,55.73611225913082,55.57517316416583,53.88332153988736,55.81801629910211,54.859198334179645,55.90484605675753,53.64722070933675,55.66361561113794,54.664716192169195,55.74203741346557,0.16093909496498782,True,108.79979411057086,completed
47,51,612,4187910,4188073,163,57.46718673484937,57.21275252705283,56.9932738203476,57.17559525170118,57.084507325313204,57.71067095380054,56.517352317989925,57.068925776559674,56.793808651675576,57.45355654472052,0.25443420779654247,True,109.0542283183674,completed
48,52,625,4270179,4270472,293,57.391975929971174,57.29784935964889,57.1494540576169,56.6530109003483,56.90177388780884,57.55489130947111,57.00208231203925,56.64441440726643,56.82352977178834,57.45981611396186,0.09412657032228111,True,109.14835488868968,completed
49,53,634,4374253,4374416,163,57.66560738301115,57.40714600301915,57.475240689954056,57.084573671494255,57.2802402387787,57.924690743196926,57.132353445619536,56.94107552761532,57.036794670093386,57.6629004646476,0.25846137999199925,True,109.40681626868168,completed
50,54,645,4472774,4473747,973,57.99459458055553,52.840492507686385,56.37223448547335,58.17896015038691,57.2827208897478,58.292411224233796,52.55485201033374,52.44339033850353,52.49915075515377,53.07268156665855,5.154102072869144,True,114.56091834155083,completed
