evaluation,PC1,PC2
404692,-0.7697955892257221,0.9746552272413849
404694,-0.7690100705673728,0.973649580297712
404713,-0.7691443411855022,0.9739006296455072
404759,-0.7690210184316777,0.9736537819288821
404800,-0.7732334887241662,0.9772694090885318
404807,-0.7732464581482812,0.9795031805564186
404811,-0.7737997153619367,0.9793752260393561
404876,-0.7738044927182245,0.9793788351315389
405006,-0.7738143868088836,0.9793827654765589
405071,-0.7738252867604478,0.9793912563866869
405136,-0.7738283287993828,0.9793913824331597
405201,-0.7738380994045936,0.9793959810255225
405265,-0.7740588882506039,0.978270107617263
405286,-0.7734076402103842,0.9775155100213849
405325,-0.7758268970355172,0.9800927001036578
405346,-0.7751756489952976,0.9793381025077795
405386,-0.7770993753872167,0.9818060570664493
405407,-0.776448127346997,0.9810514594705715
405472,-0.7766494912663486,0.98126385636361
405537,-0.7767091059315019,0.9813461063684455
405602,-0.7767881240707479,0.9814486618540226
405667,-0.7768509708749128,0.9815405409181633
405732,-0.7769104989888865,0.9816277403968244
405797,-0.7769474155684436,0.9816997711587787
405836,-0.7798190760087084,0.9839855234529334
405857,-0.7791678279684887,0.9832309258570554
405922,-0.7792266087337145,0.9832721397343707
405963,-0.78006619706843,0.9841286683717946
405984,-0.7794149490282103,0.9833740707759165
406049,-0.7794522598069156,0.9833857554836325
406114,-0.779495317327865,0.9833971831896802
406179,-0.7795426002969316,0.9834282565735847
406244,-0.779589853941269,0.983458100232771
406309,-0.7796394676548065,0.9834656137486371
406374,-0.7797076394195432,0.9834941405972196
406439,-0.7797878596763167,0.9835184417942789
406504,-0.7798490193242145,0.9835368711401494
406569,-0.7800904678722651,0.9837530775646857
406634,-0.7802407446117775,0.9838496954127265
406699,-0.780350996613859,0.9839905543278261
406764,-0.7805059450488425,0.9841095486288578
406829,-0.7806513888890627,0.9842323504142042
406894,-0.7807583044688376,0.9843531385218037
406957,-0.7810216491089836,0.984623323650639
406974,-0.7949190155815709,1.0006549015054351
406996,-0.7860893016503402,0.9897994047898733
407017,-0.7854380536101205,0.9890448071939952
407082,-0.7856422686592613,0.9892281221700553
407147,-0.7858435292515983,0.9894088001785678
407222,-0.7948487821183372,0.9988608097614228
407263,-0.7937611266633341,0.9765003943273617
407275,-0.7981928324005251,0.9930375185545007
407277,-0.8352407418473048,1.0039236736822994
407279,-0.9093365607408644,1.0256959839378976
414460,-0.9638101493208453,0.8892197927611718
479388,-0.9638101493208453,0.8892197927611718
479389,-0.9631436169084977,0.8871978190429968
479396,-0.9621966973942023,0.8925302393469438
479409,-0.9641237636017553,0.8874855998612607
479420,-0.9648508374359116,0.8910503750339641
479435,-0.9643832257509501,0.8878962119829239
479461,-0.9640181917994256,0.887870089116684
479553,-0.9652701477852413,0.8872606596161252
479554,-0.9650029184089491,0.8844705064152978
479555,-0.9630354132526411,0.8896412464850613
479560,-0.9662983879840132,0.8849741818764055
479611,-0.9751643258037337,0.8862970766517766
479612,-0.9748970964274416,0.8835069234509492
479618,-0.9761925660025058,0.8840105989120565
479668,-1.0400501158816866,0.8986431427595676
479669,-1.0089639099525227,0.8926840608913751
479670,-1.0086966805762305,0.8898939076905477
479671,-1.0067291754199224,0.8950646477603111
479727,-1.0359269894276364,0.9030760416518749
479728,-1.0356597600513442,0.9002858884510477
479729,-1.033692254895036,0.905456628520811
479804,-1.0377574835927141,0.9066223739967066
479847,-1.0479391825057707,0.9063576490466136
479851,-1.0483023151031763,0.9063865698284024
479903,-1.0652711988238202,0.899305109777397
479904,-1.0651656270214902,0.8996895990328213
479908,-1.065528180177414,0.8997193740505022
479957,-1.072475115802941,0.8551992728026344
479960,-1.0727887300838512,0.8534650799027236
479961,-1.0726831582815215,0.8538495691581466
