generation_index,round,region_id,generation,evaluation_start,evaluation_end,population,valid_count,valid_rate,generation_best,sigma_before,sigma_after,mean_displacement,diagonal_condition_proxy,boundary_contact_fraction,path_c_norm,path_sigma_norm,restart
5199,46,552,9,3593841,3594524,192,161,0.8385416666666666,57.278807461140794,0.011018366436367198,0.008745555344531133,0.0010933642590865837,101578519.33589241,0.43636363636363634,1.96922316190222,1.4157338410045994,False
5200,46,554,0,3594525,3595110,192,151,0.7864583333333334,57.98251286279045,0.011169584612866651,0.010530721220752994,0.01222458768595295,90449975.95488673,0.509090909090909,2.5469824233751197,5.810671266708549,False
5201,46,554,1,3595111,3595745,192,148,0.7708333333333334,58.13293900179911,0.010530721220752994,0.009697759711079812,0.0036406146335402584,89592895.22218165,0.5636363636363636,3.0952988086447575,5.210510037588752,False
5202,46,554,2,3595746,3596328,192,162,0.84375,57.69877107896126,0.009697759711079812,0.008372824467341623,0.002209427486715601,89365958.25199194,0.5454545454545454,2.9948795033928586,3.5635171576421714,False
5203,46,554,3,3596329,3596907,192,162,0.84375,57.790320591982265,0.008372824467341623,0.006923727805465733,0.0018167765849131296,88011993.7233097,0.5636363636363636,2.8467277714025436,2.4621464694562083,False
5204,46,554,4,3596908,3597489,192,162,0.84375,57.59973069202293,0.006923727805465733,0.005591115551471005,0.0013470155338084933,86124222.01074724,0.45454545454545453,2.7437750473913667,1.8560042422782252,False
5205,46,554,5,3597490,3598044,192,168,0.875,57.78229672959002,0.005591115551471005,0.004460968978008642,0.0012912624046569898,84855564.22182827,0.4727272727272727,2.481353247657512,1.5486418462450962,False
5206,46,554,6,3598045,3598513,192,176,0.9166666666666666,57.792243745691735,0.004460968978008642,0.003548362971688777,0.0010608027825944261,84606399.38672924,0.4727272727272727,2.346301310039292,1.4703335570152973,False
5207,46,554,7,3598514,3599034,192,175,0.9114583333333334,57.51535416770728,0.003548362971688777,0.00288467740208492,0.0012343869621768268,83288117.14898013,0.5636363636363636,2.369715561607925,2.027139069028713,False
5208,46,554,8,3599035,3599538,192,176,0.9166666666666666,57.627939515269944,0.00288467740208492,0.0023176027769270017,0.0006772717233971211,81544266.76059896,0.5818181818181818,2.2429690969328537,1.7256727594734302,False
5209,46,554,9,3599539,3599965,192,179,0.9322916666666666,57.66859010871833,0.0023176027769270017,0.0019789626456891626,0.001161385189618589,85831445.86251053,0.509090909090909,1.9334404133239893,3.2811878639792487,False
5210,46,551,0,3599966,3600635,192,157,0.8177083333333334,58.080815511128854,0.009632960834915192,0.00843764640240217,0.006819288508243322,91051038.31446093,0.5818181818181818,2.611795119493733,3.931626706577835,False
5211,46,551,1,3600636,3601329,192,162,0.84375,58.170447285378515,0.00843764640240217,0.007173956435316417,0.0016890145003043788,89238663.10620223,0.4727272727272727,2.7010909652120354,3.171760816940395,False
5212,46,551,2,3601330,3601958,192,168,0.875,58.08916665408289,0.007173956435316417,0.005881345501271903,0.0009604278199090513,87659555.61649321,0.5454545454545454,2.5076927729634537,2.2416649028714546,False
5213,46,551,3,3601959,3602575,192,175,0.9114583333333334,57.929422027903655,0.005881345501271903,0.004726112993955642,0.0015187182985734278,86174090.128514,0.4909090909090909,2.1900193990332455,1.7307089519449297,False
5214,46,551,4,3602576,3603195,192,171,0.890625,58.05005544261648,0.004726112993955642,0.00373651546953965,0.0010265306735921524,84371663.06077076,0.4909090909090909,2.1579186456776753,1.3153425234896774,False
5215,46,551,5,3603196,3603742,192,175,0.9114583333333334,57.70205507740239,0.00373651546953965,0.003097771916357903,0.0010205309832480385,87096187.61895563,0.5272727272727272,2.408582050550942,2.527681926059074,False
5216,46,551,6,3603743,3604284,192,174,0.90625,57.839460352633594,0.003097771916357903,0.0024733184488652605,0.0007563707971306332,85412308.74515817,0.5636363636363636,2.1187519272970396,1.5662721511349673,False
5217,46,551,7,3604285,3604776,192,176,0.9166666666666666,57.63147629741234,0.0024733184488652605,0.0020561132081425046,0.0010213621256938634,83711722.08800322,0.5454545454545454,2.172983353485638,2.5973140723444366,False
5218,46,551,8,3604777,3605224,192,177,0.921875,57.629154291096555,0.0020561132081425046,0.0016963135051796024,0.0006544089189434287,82117012.0068485,0.5818181818181818,1.9961309713791038,2.4028286093381133,False
5219,46,551,9,3605225,3605666,192,173,0.9010416666666666,57.87632127388391,0.0016963135051796024,0.0014079532433069854,0.0006650485036678552,80724095.07437894,0.5454545454545454,1.9967885152148255,2.5570473468055543,False
