evaluation,stage,round,region_id,score,tip_mm,wrist_mm,combined_mm,p64_mm,stutter_penalty_mm
90937,cmaes,3,7,229.68689189821265,229.5395235378099,228.93179031598962,229.23585832418215,231.74468053591727,0.4385620033946142
93295,cmaes,3,7,227.55421725890554,222.22552159422798,229.07822002224992,225.67788254101134,229.55765240721786,0.4693568546401911
94836,cmaes,3,7,222.6475837783445,220.90706689478827,223.04378757965773,221.97799821371706,224.55381205230665,0.5126624267078324
103616,cmaes,3,9,216.67752389638292,218.0671145528304,211.55292853017252,214.83471323216082,218.52468379535725,0.5067851116599524
105803,cmaes,3,9,207.06678262661663,208.67330032676736,198.2409957431303,203.52400185542373,208.79349530060426,0.5224081025742399
105834,cmaes,3,9,205.3171017722679,205.89563034064832,203.1167360969504,204.51090322529396,207.02476167093332,0.5224081025742399
141220,split_probe,3,9,204.33869053773543,202.83198605257977,204.56271891661967,203.69919064222353,206.03113357554759,0.5269216146939062
141238,split_probe,3,9,203.8098471546029,204.66668132033706,200.83106322160063,202.75794238130223,205.50238212361452,0.5211339798305152
141249,split_probe,3,9,203.79489164698265,204.99416821671085,199.34057214060638,202.18713201413863,205.48937957635403,0.5190409562032635
141339,split_probe,3,9,202.48362346768195,199.6992104431895,203.31699866053168,201.51622341136695,204.1934855248466,0.4897074747851407
141489,split_probe,3,9,202.36494318970853,193.6415019751218,203.9315069069202,198.85307490268832,204.04541264108244,0.517505041425675
144384,cmaes_backtrack,4,15,201.8030856295377,203.22068716779503,195.67771338632897,199.4848555768747,203.49118303409696,0.5039069342263266
144541,cmaes_backtrack,4,15,200.33365649377112,194.6895586590323,201.51954834095082,198.1339857449872,201.84859058719525,0.6593762611958047
144869,cmaes,4,15,197.2259292028296,185.43569414983918,198.66044190763662,192.16186906325896,198.69798995367273,0.6683113753214778
144901,cmaes,4,15,176.69768907085574,177.79893974729404,169.89290692272417,173.89086059640297,177.94621194276374,0.6683113753214778
145597,cmaes,4,15,165.28642754364458,166.45760742096604,140.9638037036844,154.2383367112783,166.45766973302798,0.6218376327423716
164097,cmaes,4,18,158.91591646914375,160.11645874476255,145.87647788390862,153.16205006589874,160.12289836743105,0.5178598502690437
225439,split_probe,4,18,153.7053224147348,154.68093188523395,149.0168300364069,151.8752881857081,154.89347117968111,0.4803616629405762
225456,split_probe,4,18,151.85465707723614,153.0213918185605,143.62836817894924,148.39921579954054,153.0625188665859,0.440925644377973
225544,split_probe,4,18,150.08273785001452,150.89651050715437,146.37043147764106,148.65069810496448,151.210753044117,0.500825042617778
225708,split_probe,4,18,149.4183285588527,150.16190144781137,146.38551589366406,148.2857307866748,150.58225348190714,0.45814512467409035
225990,split_probe,4,15,147.33789709859164,147.82279188872155,145.11961077218402,146.477437225749,148.44233461162182,0.4945813568617028
229845,cmaes_backtrack,5,34,144.95993906787453,145.97755295174272,137.00790529383036,141.56378788161547,146.01662361717047,0.5162045937684621
230034,cmaes_backtrack,5,34,142.42168256688365,138.77342096540835,143.307522251187,141.05869044517763,143.57699520839097,0.3912968565261099
235736,cmaes_backtrack,5,34,138.6305270013882,135.96488364654147,139.3513968735921,137.66855377252813,139.7618319096549,0.37420770104992557
238326,cmaes,5,32,138.30299505897307,139.33056917610983,116.38851576514396,128.37307760771316,139.33059091024177,0.47327143569203833
248489,cmaes_backtrack,5,31,138.10167739822424,130.94519375084866,139.18331728573796,135.12705054338622,139.2266972466553,0.37472829735629337
249427,cmaes_backtrack,5,31,129.51171737828793,127.11859208225219,130.12632630894905,128.63125058017027,130.5377350623592,0.38013307570880556
254436,cmaes,5,31,120.53761151933598,120.44912942796964,119.84437496116364,120.14713269526611,121.47919394758756,0.36698984615833236
314288,sqp_sensitivity_probe,5,31,120.4832482587523,119.98646690790734,120.23887763360018,120.11273857428742,121.42483297452448,0.36640198295312254
314289,sqp_sensitivity_probe,5,31,120.36532417074295,120.0060575827146,119.9910346976545,119.9985463752781,121.30525960702731,0.3667632197039174
314295,sqp_sensitivity_probe,5,31,120.17926365609881,119.97112576777953,119.63886443349296,119.80511028525468,121.11691208601262,0.3670213490631534
314356,sqp_sensitivity_probe,5,31,119.9369798444251,119.67637501439312,119.45712887198084,119.56680219635109,120.87194711245341,0.36706375148552317
314451,slsqp,5,31,112.23016568996161,112.0873546887729,111.63464215411474,111.86122744276507,113.0936300445709,0.3547787360762266
314453,slsqp,5,31,112.19389590337609,111.97505610858501,111.69193199881293,111.8335836503244,113.05698083603829,0.3547633732325768
314457,slsqp,5,31,112.06428153206586,111.75556525578013,111.6622826427426,111.70893368622463,112.92597441200586,0.3547442264835913
314508,slsqp,5,31,111.9899645960072,108.37218765725872,112.70990344063188,110.56232041526775,112.84736049015798,0.3581943841438827
314509,slsqp,5,31,111.58513356009567,109.22818840024487,112.1411715479965,110.6942624921377,112.43980336757681,0.3565302708663655
314513,slsqp,5,31,111.57846401410424,109.10829335158083,112.1539977698412,110.64162619433104,112.43200983415642,0.3575703064561593
314518,slsqp,5,31,111.33690950843858,109.49422822386136,111.77482185612912,110.64040133538118,112.18933094216231,0.3560805589619527
314566,slsqp,5,31,109.55181348937668,109.64878913214284,108.58857824580527,109.11997132420467,110.3876353075781,0.35327233288005233
314570,slsqp,5,31,109.53957664669568,109.62258452161213,108.59883246041875,109.11190917806383,110.37420061617846,0.35432546328019854
314572,slsqp,5,31,109.49921444844466,109.54501790597813,108.62658602327498,109.08676853563183,110.3345010899135,0.3532351485210029
314578,slsqp,5,31,109.49254349379972,109.65054803493113,108.41128883219353,109.03267911644203,110.32794966939792,0.3530450425762857
314586,slsqp,5,31,109.4699764012917,109.404772413885,108.7707184009449,109.08820607286479,110.30480483760812,0.3533734660354235
314595,slsqp,5,31,109.45284328100513,109.538770507987,108.50961504300362,109.02540713334274,110.28758738429701,0.35327233288005233
314623,slsqp,5,31,108.08391750231473,108.3169112416861,106.81182421092839,107.56700017246361,108.89804117563163,0.3589245894289373
314624,slsqp,5,31,108.08110107843383,108.30676486368435,106.82656907258392,107.56921300971052,108.8951953639679,0.35892332216604356
314629,slsqp,5,31,108.02225331440108,108.21207539648944,106.84999217656515,107.53319043380874,108.83574405128108,0.35888646206425767
314639,slsqp,5,31,108.00572047590481,108.15631746496076,106.91756321769404,107.53872402997669,108.81907453937745,0.3588435717093131
314642,slsqp,5,31,107.95355396296821,108.04713657219996,106.97643990599025,107.51312109787246,108.76601200894606,0.35916800032640667
314643,slsqp,5,31,107.95286155438671,108.04100879885092,106.98654093332354,107.51506760252514,108.76554630374609,0.3589362803746158
314680,slsqp,5,31,107.31509206489996,107.37974907995209,106.39116764038418,106.88660127527164,108.12112266081982,0.3586487108350341
314682,slsqp,5,31,107.27772906464637,107.44424493823148,106.15435473572234,106.80124718303679,108.0833415561986,0.358659837642182
314692,slsqp,5,31,107.26361223311092,107.39252978791339,106.2187124565769,106.80723367399051,108.06932251943219,0.3584110299940567
314696,slsqp,5,31,107.25903586320679,107.22606130056293,106.49723987789967,106.86227192897171,108.06456075098666,0.35854513482861294
314709,slsqp,5,31,107.25669073488943,107.33095254563685,106.31531624223052,106.82434142563021,108.062085382021,0.3586487108350341
314737,slsqp,5,31,105.91064099758513,105.67538665276449,105.39692944366604,105.53624988686208,106.69121342356165,0.3687039173408312
314738,slsqp,5,31,105.90332719822136,105.26611478566555,105.76603584246031,105.51637138353819,106.6838543440243,0.36866992560672984
314743,slsqp,5,31,105.82111791905864,105.46428378017937,105.44054405473877,105.45241458550277,106.60075796213127,0.3686619152076817
314749,slsqp,5,31,105.8008188427371,105.61855064858443,105.22294080796685,105.42093130252759,106.58049281577551,0.3684096893527135
314793,slsqp,5,31,100.59047126669428,100.40009507130708,100.04199757023086,100.221206259378,101.32254588863705,0.35937050552242633
314797,slsqp,5,31,100.55992686773803,100.34135184168703,100.04344791493244,100.1925105986596,101.29046439685229,0.36056201694472584
314799,slsqp,5,31,100.52022232903994,100.21962120699362,100.09989950048988,100.15977824177092,101.25156757726917,0.35933530180241086
314805,slsqp,5,31,100.49082375727977,100.34840795213199,99.88137504623872,100.11516383559213,101.22235172271388,0.358837871797743
314849,slsqp,5,31,98.7611222245699,99.42015697388612,94.87351549436087,97.17343143825602,99.49596910884605,0.33692238221695525
314852,slsqp,5,31,98.70788502106996,99.34775188307316,95.12708676194963,97.26031677934266,99.44137439136232,0.3376918026243548
314853,slsqp,5,31,98.64281251549878,99.29355995890583,94.87006112710661,97.10700167231447,99.37535820264313,0.33792436025848316
314865,slsqp,5,31,98.6091442792707,99.25364446875275,94.9671588857934,97.13404966120042,99.34300029870884,0.3362654690504503
314906,slsqp,5,31,98.16613200154075,98.79483829073526,94.65391877191036,96.74653588571513,98.89144143857906,0.3399478653667969
314909,slsqp,5,31,98.12165301052916,98.72681872660493,94.90743471543644,96.83595897222462,98.84568344176424,0.3407339666320752
314910,slsqp,5,31,98.03676741679726,98.6545219365529,94.65033581870358,96.67316269038466,98.75962531014454,0.3409794874615221
314963,slsqp,5,31,97.77457823694168,98.03255148639315,96.39391186389688,97.21668425573114,98.48187388567604,0.35354979739471815
314964,slsqp,5,31,97.5251428083497,97.95862186122751,95.5189566309569,96.74647971067884,98.23688933421819,0.34645994990460277
314966,slsqp,5,31,97.03533274575126,97.42032020689017,95.23882362411744,96.33574703742833,97.74177888619663,0.3464270121141149
315021,slsqp,5,31,96.7580517972745,93.31519245611683,97.328685894243,95.34306015914932,97.42812331499032,0.37942294116897657
315023,slsqp,5,31,96.5103802513521,93.39674584352915,97.05311725633673,95.24247923939461,97.17778946892896,0.37938864842107395
315030,slsqp,5,31,96.49418196515393,93.63849806612863,97.01420209863174,95.34129149774125,97.16383242940793,0.3769970566983582
315077,slsqp,5,31,95.30058748872278,95.55272395905769,93.7597466241329,94.66048051594045,95.94236109753344,0.3917162390708361
315078,slsqp,5,31,95.3005874887226,95.55272395905746,93.75974662413283,94.66048051594028,95.94236109753324,0.39171623907082476
315079,slsqp,5,31,95.25810540327637,95.47452190343394,93.82917044216862,94.6554212883626,95.89945396595405,0.3916790901485434
315081,slsqp,5,31,95.1869409096174,95.39678510197294,93.77033564748533,94.58705634291105,95.82583164337312,0.393343860383031
315083,slsqp,5,31,95.11976704135182,95.29326620718267,93.811382906121,94.5552276375871,95.75960941748345,0.3916788730635645
315091,slsqp,5,31,95.1091671472045,95.2365922806187,93.91935444929531,94.58026657130222,95.74934973053423,0.3912281486529973
315134,slsqp,5,31,94.42486868717111,94.57808953835004,93.20220705671959,93.89266856620857,95.06753744555449,0.38139750066138084
315136,slsqp,5,31,94.38367771234006,94.49026946544085,93.27225452964184,93.88323729157916,95.02593315553445,0.38136265498720706
315140,slsqp,5,31,94.24354195637326,94.29169997465071,93.25615670425876,93.77535776353724,94.88427527172415,0.38135884597534264
315154,slsqp,5,31,94.23107448495423,94.2137610749134,93.36437563960268,93.79002989245102,94.87076931611885,0.3822518441860061
315191,slsqp,5,31,92.86314394802284,92.95051861414944,91.77446020115443,92.36436124353544,93.48432741553108,0.3858284739819323
315192,slsqp,5,31,92.86314394802254,92.95051861414898,91.77446020115455,92.36436124353526,93.4843274155308,0.3858284739819305
315196,slsqp,5,31,92.85521732690766,92.93587196710831,91.78138290290849,92.36043131627594,93.47631447917115,0.3858284739819323
315197,slsqp,5,31,92.82300224144291,92.86492631997656,91.83086072732016,92.34934088106733,93.44378104269337,0.3857963752464745
315203,slsqp,5,31,92.79342228521286,92.92055182555798,91.61329885837608,92.26924048479087,93.41433739158882,0.38534290349974454
315207,slsqp,5,31,92.7929473172615,92.80258406705985,91.86611624533346,92.3355373719264,93.41413396833079,0.38506916753379017
315210,slsqp,5,31,92.79073986126295,92.75813154886136,91.93582227405352,92.347892194793,93.41009467185955,0.3868574967581623
315211,slsqp,5,31,92.78777411818926,92.75239432623388,91.93791584300682,92.34605303640484,93.40717764401745,0.38677735934114815
315240,slsqp,5,31,92.76136908795569,92.78943594121006,91.79663670623229,92.29437126083019,93.3814442998998,0.3858284739819323
315247,slsqp,5,31,91.50562924465117,91.56159774992996,90.20934841166772,90.88798799450242,92.02965380514497,0.46731765605822767
315248,slsqp,5,31,91.50562924465109,91.56159774992977,90.20934841166795,90.88798799450245,92.02965380514489,0.46731765605821385
315251,slsqp,5,31,91.3704829336867,91.37618521152464,90.19240043593676,90.78622230329671,91.89236951911428,0.46797680660663843
315303,slsqp,5,31,90.82214125377178,88.785652649889,91.20320192931253,90.00254484909217,91.43838216902587,0.3687321310348744
315305,slsqp,5,31,90.53445448234548,88.69612232893803,90.87461349221414,89.79197484616667,91.14759584685511,0.3686993353535559
315359,slsqp,5,31,87.87534170038342,87.37029611128042,87.64910740243134,87.5098127955253,88.46967942999686,0.35865648993968624
315361,slsqp,5,31,87.71544671672962,87.3195311563214,87.39314675285577,87.3563467091143,88.30808091348106,0.35861928571392887
315388,slsqp,5,31,87.62711900991535,86.98230911781262,87.5054983451001,87.24429591695672,88.21875377164777,0.35865648993968624
315416,slsqp,5,31,86.43546910164272,86.21022592694437,85.93203199080163,86.07124135401715,87.01552748561183,0.35727173002516055
315420,slsqp,5,31,86.33623389562261,86.04332603062602,85.90924822613951,85.97631326473898,86.91417134871038,0.35830085393710037
315472,slsqp,5,31,84.98759488674973,84.74853287174278,84.45913790461495,84.60395912575142,85.53297555468848,0.375979416216379
315476,slsqp,5,31,84.97624846131704,84.7350028355921,84.44780128976595,84.59152394957664,85.52028943582947,0.3771824549377322
315478,slsqp,5,31,84.9730219512377,84.65585400030514,84.53558389464513,84.59574032103971,85.51826666192169,0.37595692947232734
315482,slsqp,5,31,84.93797268440322,84.65053980659624,84.46989319150794,84.5602647386256,85.48408670227475,0.3747194362104406
315484,slsqp,5,31,84.903862938358,84.71224029003335,84.31524957737138,84.51397803396421,85.44882941020653,0.3754871911484715
315528,slsqp,5,31,84.75701171306874,85.11406832318839,82.66030851924897,83.8961597184931,85.30452516051824,0.37138577207378937
315529,slsqp,5,31,84.21493280016064,84.22316003562268,83.31264964119333,83.76914192177911,84.7573361658465,0.3706015412064311
315534,slsqp,5,31,84.2138921356874,84.21798894827192,83.31976052990416,83.77007865954235,84.75628416928012,0.3706015412064311
315535,slsqp,5,31,84.1509384395651,84.08397159116288,83.38623131324628,83.73582820743371,84.69266732371965,0.3705794108235873
315541,slsqp,5,31,84.13554329333684,84.17553003813185,83.1691098948441,83.67383311974268,84.67754809173292,0.37014063241458084
315542,slsqp,5,31,84.08179628286976,84.0041954563012,83.33463830252241,83.67008663576455,84.62271689594486,0.3706341768179654
315572,slsqp,5,31,84.06177979576064,83.94176235833372,83.38206090306093,83.66237968246162,84.60251543457191,0.3706015412064311
315585,slsqp,5,31,83.13296421443437,83.3635345638698,81.54772949085151,82.46063024284561,83.6487040163944,0.38532293404560664
315587,slsqp,5,31,83.09645525709495,83.29630199601328,81.627142141723,82.46594527572002,83.61182583006236,0.3852949117016319
315588,slsqp,5,31,83.08199447790021,83.22611140183402,81.79112598046743,82.51173828075368,83.59634803928617,0.38614519672507325
315591,slsqp,5,31,82.95842965253073,83.11803007456396,81.62249854968081,82.37365838958704,83.47229544431684,0.38529667340864154
