round,evaluation_at_round_end,parent_region_id,child_left,child_right,variable,split_value_normalized,split_value_absolute,local_sensitivity,split_seed_count,parent_volume_log10
16,977694,146,205,206,L8_C0,0.18397505931618752,218.39750593161875,4621.531498111862,3739,-4.745291957843017
17,1021070,192,207,208,theta18_deg,0.4309447144093776,81.71336572912531,3890.479258493245,134,-7.161183417598256
17,1021070,189,209,210,B_Y_C1c,0.5837132872218417,30.136783399862992,2550.0868002933416,6993,-5.978648483480163
17,1021070,196,211,212,L7,0.3426361595576944,234.26361595576944,13187.57114539017,83,-4.9296609641657945
18,1072735,194,213,214,L6,0.41670490262516496,241.6704902625165,8824.273747120365,70,-6.281727744569084
18,1072735,195,215,216,L7,0.3522270809282935,235.22270809282935,11861.021677618151,204,-4.970053995398291
18,1072735,200,217,218,L12,0.23432946903302967,15.544826106486335,4165.702154122454,106,-5.562682864389158
18,1072735,198,219,220,L6,0.41392501469701787,241.39250146970178,7974.506490822798,41,-6.406788278692881
18,1072735,204,221,222,L7,0.3562480038080921,235.6248003808092,12388.313190444174,104,-3.922724615366419
18,1072735,201,223,224,L2,0.42947801008353753,156.02252342840276,3661.838201662964,18,-6.459371413083595
18,1072735,203,225,226,L13,0.37637044946488524,42.62608135076944,4718.200076455581,47,-4.7504013648206875
18,1072735,205,227,228,L13,0.39235942216494196,44.09706683917466,5716.235033334541,126,-5.4805330062221636
18,1072735,206,229,230,L13,0.37953102735070915,42.91685451626524,5188.461377251699,73,-4.833588525270741
19,1121881,217,231,232,L13,0.37758772995220585,42.73807115560294,5811.873265202147,135,-6.481416498713971
19,1121881,220,233,234,L13,0.3810242738589972,43.05423319502774,5148.774812963414,191,-7.337686036653496
19,1121881,222,235,236,L13,0.36670684720073693,41.7370299424678,5959.2628181815735,118,-4.924286691020564
19,1121881,225,237,238,L7,0.3613556564559303,236.13556564559303,16037.425275419799,20,-5.6669371553398395
20,1169036,238,239,240,L3_C1c,0.476183469470089,-2.6198183582902104,3893.5115180832254,8021,-6.728756785635952
20,1169036,235,241,242,L3_C1c,0.476583287414565,-2.575838384397848,3979.4955285071555,8038,-5.892589638024424
20,1169036,223,243,244,L8_C0,0.1830616273744843,218.30616273744843,4987.15105216615,9957,-7.491320028736099
20,1169036,227,245,246,L12,0.2622558338530243,16.801512523386094,4038.5052608980077,106,-6.323013575854448
20,1169036,229,247,248,L12,0.3055030229142551,18.74763603114148,4043.9534815082557,102,-5.73444978953594
20,1169036,157,249,250,L13,0.3822494657291802,43.16695084708458,4664.622044427806,47,-4.902213801438875
20,1169036,150,251,252,L12,0.1372037245392518,11.174167604266332,3313.359594298337,4302,-4.994195929063426
21,1276401,244,253,254,L5,0.42573175614182296,202.1756214740375,3511.136107692013,7012,-7.579130732837907
21,1276401,245,255,256,L5,0.4258045597781563,202.1930943467575,3159.3680237342633,7665,-7.1433752721625074
21,1276401,247,257,258,L6,0.4304929895568478,243.04929895568478,6192.647303290666,127,-6.43128455970756
21,1276401,243,259,260,L5,0.4252109360771873,202.05062465852495,3287.575681682439,7068,-8.228722709917864
21,1276401,249,261,262,theta18_deg,0.6078315318862347,102.93978382634816,2925.619197707169,5717,-5.790031520946867
22,1347239,261,263,264,L3_C1c,0.4750938214563833,-2.739679639797835,3268.6355013565135,4708,-6.006248295145372
22,1347239,262,265,266,L3_C1c,0.4747888000229393,-2.773231997476678,3203.8215760805824,4475,-6.196558849194682
22,1347239,252,267,268,L13,0.3728807328140204,42.30502741888988,4689.244090353854,181,-5.058287667401504
22,1347239,158,269,270,theta18_deg,0.6075662684121281,102.90795220945537,3466.9362067149036,3447,-4.10178662124998
22,1347239,251,271,272,L13,0.37098730488748577,42.13083204964869,4612.624213796692,134,-5.856830028152682
22,1347239,151,273,274,L12,0.13756972459379746,11.190637606720886,3396.139638184153,4034,-3.400613361814391
22,1347239,152,275,276,L12,0.13844220198928825,11.229899089517971,3404.4026716419176,3921,-4.363939708197692
23,1456828,264,277,278,L8_C1c,0.3540930476741719,-16.049764755841096,2085.290190565617,3519,-6.286166610371884
23,1456828,266,279,280,L5,0.42872813381371105,202.89475211529066,2690.2060435798967,3568,-6.476224870474171
23,1456828,263,281,282,L8_C1c,0.35383988290731966,-16.077612880194835,2092.645089998521,3712,-6.3294689126420725
23,1456828,265,283,284,L3_C1c,0.43536668990245053,-7.109664110730442,3431.7012248835417,84,-6.52005838353219
23,1456828,267,285,286,L12,0.24138510365385596,15.862329664423518,3296.568083479188,188,-5.9928139533366025
24,1539659,285,287,288,theta18_deg,0.606694419385504,102.80333032626048,3491.6006663058806,7740,-6.910932112833904
24,1539659,270,289,290,L13,0.3615434830101602,41.26200043693474,4467.822596242798,96,-4.508020291214686
24,1539659,275,291,292,theta18_deg,0.6063713617279929,102.76456340735915,3399.0942054824523,3774,-5.2226712098596835
24,1539659,273,293,294,L13,0.3826022623292589,43.19940813429182,6433.389005252798,78,-4.262090493965442
24,1539659,271,295,296,theta18_deg,0.6072923230670352,102.87507876804422,2828.243249122848,5795,-6.801438609779487
24,1539659,269,297,298,L13,0.36851386441332384,41.903275526025794,4622.374153696255,164,-4.318192967068339
24,1539659,274,299,300,theta18_deg,0.6073146208834014,102.87775450600816,3260.661775852307,3695,-3.4648893679013866
25,1651459,288,301,302,L3_C1c,0.4753515500801378,-2.7113294911848413,3477.5760787199606,5285,-7.316202004174254
25,1651459,287,303,304,L3_C1c,0.4750525249265505,-2.7442222580794464,3604.277665728174,5634,-7.127962112683375
25,1651459,289,305,306,L12,0.22346410693374594,15.055884812018567,3439.0610981895243,118,-5.506739660590272
25,1651459,291,307,308,L13,0.35923537890481183,41.049654859242686,4671.749688341474,175,-5.439932528016034
25,1651459,293,309,310,L7,0.35803632462299506,235.8036324622995,8920.675024738768,32,-5.148243794697946
