phase,round,split,parent_region_id,child_region_ids,variable,split_value_normalized,split_value_absolute,local_sensitivity,split_seed_count,reason
primary,19,True,192,"[241, 242]",B_Y_C1c,0.40735797660922923,-33.35112842067747,449.74341948749765,3329,
primary,19,True,94,"[243, 244]",B_Z_C1c,0.5371721153644097,13.381961531187471,365.61654669474353,3924,
primary,19,True,134,"[245, 246]",B_Y_C1s,0.48154040274825144,-6.64545501062949,701.6432339537539,412,
primary,20,False,,[],,,,,,insufficient_new_samples
primary,20,False,,[],,,,,,insufficient_new_samples
primary,20,False,,[],,,,,,insufficient_new_samples
primary,20,False,,[],,,,,,insufficient_new_samples
primary,20,False,,[],,,,,,insufficient_new_samples
primary,20,False,,[],,,,,,insufficient_new_samples
primary,20,True,243,"[247, 248]",B_Z_C1s,0.3739790214329626,-45.36755228413347,555.3680108206221,11,
primary,20,False,,[],B_Z_C1c,,,,,no_interior_feasible_split_seed
primary,20,True,235,"[249, 250]",L2,0.36505787777448623,134.1196784433253,950.9088061380326,63,
primary,20,True,239,"[251, 252]",L7,0.7299878808218847,272.99878808218847,405.35656036356437,511,
primary,20,True,237,"[253, 254]",B_Z_C1s,0.3752052473129344,-44.92611096734362,505.8830443302256,8,
primary,20,True,238,"[255, 256]",L5,0.5065326919056099,221.56784605734637,460.410043472553,1954,
primary,21,False,,[],,,,,,insufficient_new_samples
primary,21,False,,[],,,,,,insufficient_new_samples
primary,21,False,,[],,,,,,insufficient_new_samples
primary,21,False,,[],,,,,,insufficient_new_samples
primary,21,False,,[],,,,,,insufficient_new_samples
primary,21,False,,[],,,,,,insufficient_new_samples
primary,21,True,249,"[257, 258]",B_Z_C1c,0.4970002551048905,-1.079908162239434,474.8699611956267,4,
primary,21,False,,[],B_Z_C1c,,,,,no_interior_feasible_split_seed
primary,21,True,255,"[259, 260]",B_Z_C0,0.48649974669938423,-11.350025330061577,553.594291433657,2276,
primary,21,False,,[],B_Z_C1c,,,,,no_interior_feasible_split_seed
primary,21,True,256,"[261, 262]",B_Z_C1s,0.3698981531704592,-46.83666485863469,718.5846742185262,27,
primary,21,True,252,"[263, 264]",B_Z_C0,0.48920421178688167,-11.079578821311834,488.0281112984259,7367,
primary,22,False,,[],,,,,,insufficient_new_samples
primary,22,False,,[],,,,,,insufficient_new_samples
primary,22,False,,[],,,,,,insufficient_new_samples
primary,22,False,,[],,,,,,insufficient_new_samples
primary,22,False,,[],,,,,,insufficient_new_samples
primary,22,True,258,"[265, 266]",L3_C0,0.5900267098102694,272.409615531697,680.1914092986686,8091,
primary,22,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,22,True,263,"[267, 268]",B_Z_C2s,0.4882760233791651,-1.8758362593335818,275.31447406241205,5063,
primary,22,True,196,"[269, 270]",B_Y_C0,0.5949938278862911,-5.051296143878872,247.88087424060748,8277,
primary,22,True,264,"[271, 272]",B_Y_C1c,0.4090229460276099,-32.75173943006044,391.16354101769525,4871,
primary,22,True,254,"[273, 274]",B_Z_C0,0.48781874997937963,-11.218125002062038,503.611466796121,5832,
primary,22,True,241,"[275, 276]",B_Y_C0,0.5925769853013996,-5.558833086706088,345.6424705524516,2858,
primary,23,False,,[],,,,,,insufficient_new_samples
primary,23,False,,[],,,,,,insufficient_new_samples
primary,23,False,,[],,,,,,insufficient_new_samples
primary,23,False,,[],,,,,,insufficient_new_samples
primary,23,False,,[],,,,,,insufficient_new_samples
primary,23,True,266,"[277, 278]",B_Y_C0,0.5888321004939483,-6.345258896270863,320.346660893835,5586,
primary,23,True,265,"[279, 280]",B_Y_C0,0.5886760092201204,-6.37803806377471,328.2599720614599,5100,
primary,23,True,268,"[281, 282]",B_Z_C2c,0.5177212919488884,2.835406711822145,679.8167803687307,88,
primary,23,True,267,"[283, 284]",B_Y_C1c,0.4080018795385468,-33.119323366123155,154.60297768254762,3887,
primary,23,True,272,"[285, 286]",B_Z_C0,0.5390502737974671,-6.094972620253294,505.1781435238714,63,
primary,23,True,271,"[287, 288]",B_Z_C2c,0.5212625446049934,3.402007136798943,649.1660549985938,17,
primary,23,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,24,False,,[],,,,,,insufficient_new_samples
primary,24,False,,[],,,,,,insufficient_new_samples
primary,24,False,,[],,,,,,insufficient_new_samples
primary,24,False,,[],,,,,,insufficient_new_samples
primary,24,False,,[],,,,,,insufficient_new_samples
primary,24,False,,[],,,,,,insufficient_new_samples
primary,24,True,277,"[289, 290]",L8_C0,0.6346225807084795,263.46225807084795,156.20305845261186,4610,
primary,24,True,278,"[291, 292]",L8_C0,0.6338989047324287,263.3898904732429,199.51160813357572,4189,
primary,24,True,279,"[293, 294]",B_Z_C2c,0.518787979064694,3.0060766503510337,394.0665984163207,5,
primary,24,True,280,"[295, 296]",B_Y_C1s,0.48240672011872066,-6.333580757260563,403.43484559741967,2804,
primary,24,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,24,True,281,"[297, 298]",B_Y_C1c,0.4091207829448185,-32.71651813986534,177.8740250102514,5309,
primary,25,False,,[],,,,,,insufficient_new_samples
primary,25,False,,[],,,,,,insufficient_new_samples
primary,25,False,,[],,,,,,insufficient_new_samples
primary,25,False,,[],,,,,,insufficient_new_samples
primary,25,False,,[],,,,,,insufficient_new_samples
primary,25,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,25,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,25,True,285,"[299, 300]",B_Z_C2c,0.5189690841119636,3.035053457914188,590.6657403933056,29,
primary,25,True,284,"[301, 302]",B_Z_C2c,0.5182509758884624,2.920156142153985,682.5282426552477,19,
primary,25,True,283,"[303, 304]",B_Y_C0,0.5898304544254376,-6.135604570658103,260.7052094343051,3462,
primary,25,True,287,"[305, 306]",B_Z_C2s,0.4895102042895226,-1.6783673136763895,340.5900673836524,4808,
primary,25,True,242,"[307, 308]",B_Y_C0,0.5926123404907381,-5.551408496945001,279.18177394027003,2984,
primary,26,False,,[],,,,,,insufficient_new_samples
primary,26,False,,[],,,,,,insufficient_new_samples
primary,26,False,,[],,,,,,insufficient_new_samples
