frame,phase,L3_mm,L8_mm,L32_mm,B_x_mm,B_y_mm,B_z_mm
23,0.3026315789473684,257.03433662074025,278.91406447802115,154.11800970766768,38.941732807199685,-9.535502357911657,-51.324152231643765
24,0.3157894736842105,257.1312088627648,279.46338268384983,154.21488194969226,38.941732807199685,-6.822484870915501,-51.16170780002874
25,0.3289473684210526,257.2524844648351,279.91761806675294,154.33615755176254,38.941732807199685,-3.951071199105832,-50.65773813090257
26,0.3421052631578947,257.39289809150415,280.27137037847746,154.47657117843158,38.941732807199685,-0.9471099515175005,-49.81884471715128
27,0.35526315789473684,257.5483237769905,280.5197855070194,154.63199686391795,38.941732807199685,2.1585198789833457,-48.658595962179895
28,0.3684210526315789,257.7158894917113,280.65865512718625,154.79956257863876,38.941732807199685,5.330402414089856,-47.19720016339755
29,0.381578947368421,257.8940461418186,280.6845139521157,154.97771922874603,38.941732807199685,8.529214190244714,-45.46086420820157
30,0.39473684210526316,258.08258918342517,280.5947320528015,155.1662622703526,38.941732807199685,11.712474395323337,-43.48086638601624
31,0.40789473684210525,258.2826324029411,280.3875997424493,155.36630548986852,38.941732807199685,14.835397779661442,-41.29238876175823
32,0.42105263157894735,258.49653479594303,280.0624026204345,155.58020788287047,38.941732807199685,17.851829065535863,-38.93316907595906
33,0.43421052631578944,258.72778283108835,279.6194845347991,155.81145591801578,38.941732807199685,20.715235328816117,-36.44204323968366
34,0.4473684210526315,258.9808316753076,279.060296448856,156.06450476223506,38.941732807199685,23.379731104446094,-33.85745648598407
35,0.4605263157894737,259.2609101461893,278.3874294810671,156.34458323311674,38.941732807199685,25.801109921625528,-31.216023676987742
36,0.47368421052631576,259.57379521417846,277.6046307208961,156.6574683011059,38.941732807199685,27.93785563461126,-28.551216973288543
37,0.48684210526315785,259.92556277166375,276.7168007983747,157.00923585859118,38.941732807199685,29.752107291347038,-25.892252161256163
38,0.5,260.32232209338576,275.7299725920753,157.4059951803132,38.941732807199685,31.210552365586693,-23.26323379416961
39,0.513157894736842,260.7699419131644,274.65127088858384,157.85361500009185,38.941732807199685,32.285224940502204,-20.682604580552553
40,0.5263157894736842,261.2737763216776,273.4888532453016,158.35744940860502,38.941732807199685,32.95418782620349,-18.162927010974926
41,0.5394736842105263,261.838398740946,272.25183274607673,158.92207182787342,38.941732807199685,33.20208055617987,-15.711006081763532
42,0.5526315789473684,262.4673520515911,270.95018376432904,159.55102513851853,38.941732807199685,33.02051865898373,-13.328342283176053
43,0.5657894736842105,263.1629225434525,269.5946322498788,160.24659563037994,38.941732807199685,32.4083334487854,-11.011884938826624
44,0.5789473684210527,263.9259447395947,268.19653242307226,161.00961782652212,38.941732807199685,31.371645718222897,-8.755038645765854
45,0.5921052631578947,264.75564332483646,266.7677320833801,161.8393164117639,38.941732807199685,29.92377103776477,-6.548861000571969
46,0.6052631578947368,265.6495174148712,265.3204290109218,162.73319050179862,38.941732807199685,28.084958751172607,-4.383378870583299
47,0.6184210526315789,266.6032712578388,263.86702115120323,163.68694434476623,38.941732807199685,25.88197108839229,-2.2489438278349594
48,0.631578947368421,267.61079419800535,262.4199534201869,164.69446728493278,38.941732807199685,23.347512978556644,-0.1375453965705161
49,0.6447368421052632,268.66419138539305,260.9915640447947,165.7478644723205,38.941732807199685,20.51952702460357,1.9559964164665398
50,0.6578947368421052,269.753865322517,259.5939333610325,166.83753840944445,38.941732807199685,17.44037159281883,4.03303041279112
51,0.6710526315789473,270.8686469378648,258.2387379279831,167.95232002479224,38.941732807199685,14.15590298142945,6.0903248342589
