sample,phase,wrist_x_mm,wrist_y_mm,wrist_z_mm,tip_x_mm,tip_y_mm,tip_z_mm,wrist_tip_length_mm
77,0.2138888888888889,-118.00424998415612,100.36078143372242,183.4371152170017,-344.2306190308787,-214.62042063771344,449.01606669838674,470.0252197280296
78,0.2166666666666666,-117.78660891208926,99.60131738126404,183.78936876691327,-343.9991102391164,-210.28616209812768,455.12205072152045,469.9188972486643
79,0.2194444444444444,-117.61660730446248,98.83046040826248,184.09868945945288,-343.79775239979426,-205.89177107640236,461.0820019969443,469.8226305552669
80,0.2222222222222222,-117.4945214559018,98.04877120490264,184.3656393144706,-343.6285268006835,-201.4399147321938,466.8949103753925,469.7370012930836
81,0.225,-117.42058083712011,97.25681020610207,184.5907896176322,-343.49340682602167,-196.9332816655064,472.5598284036162,469.66253853736004
82,0.2277777777777777,-117.39496779075208,96.45513702809376,184.7747199513054,-343.3943550139383,-192.3745794742464,478.075870610026,469.5997158621451
83,0.2305555555555555,-117.41781728109513,95.6443099100679,184.91801722832423,-343.3333201177424,-187.76653230317228,483.4422127508616,469.5489486926059
84,0.2333333333333333,-117.48921669807038,94.8248851615156,185.02127472988664,-343.31223417481726,-183.11187838696853,488.658091018365,469.51059195710616
85,0.2361111111111111,-117.60920571565184,93.99741661590808,185.0850911488327,-343.33300958686505,-178.41336759017395,493.72280121246905,469.4849380535948
86,0.2388888888888889,-117.77777620494686,93.16245509133772,185.1100696395414,-343.397536215229,-173.67375894669505,498.6356978775464,469.4722151430092
87,0.2416666666666666,-117.99487220204576,92.32054785873702,185.09681687566956,-343.5076784950082,-168.89581820163124,503.3961934057943,469.47258578044534
88,0.2444444444444444,-118.26038993069253,91.47223811827963,185.04594211694476,-343.6652725716584,-164.0823153581306,508.00375710886175,469.4861458927923
89,0.2472222222222222,-118.5741778797628,90.61806448455962,184.95805628620812,-343.8721234637483,-159.2360222319879,512.4579142593484,469.5129241093919
90,0.25,-118.93603693546962,89.75856048112978,184.8337710578868,-344.1300022555097,-154.35971001667878,516.7582451038352,469.55288145009195
91,0.2527777777777777,-119.345720568152,88.89425404496993,184.67369795905677,-344.44064332278805,-149.45614686151137,520.9043838491231,469.60591137282375
92,0.2555555555555555,-119.8029350734354,88.0256670414413,184.47844748423915,-344.8057415959617,-144.52809546555446,524.8960176233809,469.67184018057867
93,0.2583333333333333,-120.30733986748886,87.1533147902703,184.24862822505045,-345.2269498633523,-139.5783106899794,528.7328854139209,469.75042778540967
94,0.2611111111111111,-120.8585478360374,86.27770560308929,183.9848460158059,-345.70587611860645,-134.60953719142773,532.4147769833346,469.84136882485143
95,0.2638888888888889,-121.45612573672544,85.39934033304792,183.6877030961512,-346.24408095547426,-129.62450707898432,535.9415317657352,469.94429412397363
96,0.2666666666666666,-122.09959465436124,84.51871193699198,183.35779729177275,-346.84307501335445,-124.62593759730764,539.3130377448712,470.05877249416517
97,0.2694444444444444,-122.78843050851046,83.63630505069102,182.99572121421195,-347.50431647691954,-119.6165288384309,542.5292303158707,470.18431285771175
98,0.2722222222222222,-123.52206461284317,82.75259557757829,182.6020614807782,-348.2292086330665,-114.59896148471104,545.5900911323998,470.32036668530736
99,0.275,-124.29988428557728,81.86805029144968,182.1773979555307,-349.0190974883731,-109.57589458535926,548.49564694101,470.46633073182386
100,0.2777777777777778,-125.12123351029943,80.98312645355035,181.722303012266,-349.8752694501672,-104.54996336894786,551.2459684044571,470.6215500539925
101,0.2805555555555555,-125.98541364638427,80.09827144445839,181.2373408204194,-350.7989490742428,-99.52377709423293,553.8411689157755,470.7853212921179
102,0.2833333333333333,-126.89168418817432,79.21392241115703,180.7230666547549,-351.7912968821724,-94.4999169415936,556.281403404886,470.95689619657173
