phase,evaluation,round,region_id,score,tip_rmse_mm,wrist_rmse_mm,combined_rmse_mm,stage
primary,2199004,29,334,84.72032552783794,84.99967508335132,84.3672893731466,84.68407252974893,cmaes_backtrack
primary,2199108,29,334,84.66446409663784,84.691318474542,84.63706213364529,84.66419465030903,cmaes_backtrack
primary,2199341,29,334,84.65014456601672,84.71207382110208,84.58522245501486,84.64867189990697,cmaes_backtrack
primary,2200076,29,334,84.6364058405438,84.7139747768057,84.55408212515115,84.63406621010266,cmaes_backtrack
primary,2200389,29,334,84.52989324678579,84.2900946985348,84.73325973938947,84.511967703843,cmaes_backtrack
primary,2202232,29,334,84.47480944084892,84.31729238671349,84.61575161948616,84.4666538272859,cmaes
primary,2202731,29,334,84.44207815246699,84.48938636945904,84.39303887903415,84.44122636581584,cmaes_backtrack
primary,2210764,29,338,84.40538861918792,84.52081455550523,84.2790723490894,84.40003000339856,cmaes
primary,2211373,29,335,84.32026241514995,84.17582725180861,84.45061740871671,84.31333427827349,cmaes_backtrack
primary,2217800,29,335,84.32003914655145,84.30805815705494,84.33191383739486,84.31998684087644,cmaes_backtrack
primary,2218069,29,335,84.21976288998036,83.42017940939549,84.71645030642838,84.07081326244347,cmaes
primary,2272036,29,335,84.21478336671701,83.33118044651592,84.74192638893173,84.0395136906352,sqp_sensitivity_probe
primary,2272038,29,335,84.18954980129422,83.40537424198679,84.68028991652525,84.04524957661985,sqp_sensitivity_probe
primary,2272092,29,335,84.12734282251293,83.8242036110599,84.37423023828846,84.09966658474973,sqp_sensitivity_probe
primary,2272094,29,335,84.12454301552346,83.55611891752353,84.52192533899084,84.04040954079554,sqp_sensitivity_probe
primary,3126735,39,437,84.11184752886406,83.71913594576091,84.41489797591426,84.06773674778218,sqp_sensitivity_probe
primary,3188444,40,437,84.11065608808288,83.29949451045651,84.61144384878104,83.95803182505233,cmaes
primary,3189493,40,437,84.10330494124312,83.7428973478258,84.38679384022431,84.06546208414312,cmaes_backtrack
primary,3189524,40,437,84.06395166611178,83.66492456038397,84.37069660038209,84.01855166131008,cmaes_backtrack
primary,3194848,40,335,83.96172161486814,84.03473985144247,83.88446967501895,83.95963838225718,cmaes_backtrack
primary,3201251,40,338,83.90676289099949,82.90639737767927,84.47122751762042,83.69246980606815,cmaes_backtrack
primary,3206990,40,338,83.81635723347442,83.47213125769524,84.08956578229294,83.78141730167997,cmaes_backtrack
primary,3262954,41,334,83.76608341924117,83.553548024461,83.94927919591258,83.75164734197529,cmaes_backtrack
primary,3264596,41,334,83.55548459220904,83.17994930136331,83.84779882544767,83.51454164889525,cmaes_backtrack
primary,3283300,41,334,83.53293756860404,83.0871920093072,83.8659150052541,83.47746155597926,sqp_sensitivity_probe
primary,3283358,41,334,83.51693191876822,83.35971938932634,83.65746064208008,83.50872271130845,sqp_sensitivity_probe
confirmation,19572,-1,0,917.77372478356,927.7676254034628,506.3625527231081,747.3806933374191,feasibility_cma
confirmation,19578,-1,0,908.2696294729753,918.1600372803786,507.9161047706856,741.9557343750811,initial_pool_backtrack
confirmation,19742,-1,0,871.1298165593377,880.6157983200177,514.3622069395591,721.1285128805184,initial_pool_backtrack
confirmation,21180,-1,0,870.2296945621891,879.7058746369606,530.4445530811578,726.3793257535106,initial_pool_backtrack
confirmation,28798,-1,0,857.6572158584497,866.9964906162373,518.2774781856281,714.2459167315293,initial_pool_backtrack
confirmation,31569,0,0,835.7925134799073,844.8936972390595,513.4739796350817,699.1068900377738,cmaes_backtrack
confirmation,31661,0,0,823.6755772189667,832.6448161931031,512.7536931511233,691.4527242600766,cmaes_backtrack
confirmation,31723,0,0,817.7652518351773,826.6701315855498,519.1482303233303,690.2529940186844,cmaes_backtrack
confirmation,32126,0,0,806.8698099848434,815.6560461522464,518.2774781856281,683.3397142048639,cmaes
confirmation,32192,0,0,792.3258710686786,800.9537341248982,518.2774781856281,674.5881812643446,cmaes
confirmation,32336,0,0,790.5972686839466,799.2063080069208,612.2092491143153,711.8745983174167,cmaes
confirmation,32366,0,0,684.6108951702374,692.0658190418562,429.2663344275478,575.8579181356016,cmaes
confirmation,34926,0,0,618.3196845366904,625.0527444530076,320.66953188938163,496.74937444872126,cmaes
confirmation,39220,0,0,612.0172355587445,618.6816663053146,322.4867570855623,493.3379737653909,split_probe
