phase_index,phase_fraction,generated_tip_x_mm,generated_tip_y_mm,generated_tip_z_mm,target_tip_x_mm,target_tip_y_mm,target_tip_z_mm,tip_error_mm,generated_wrist_x_mm,generated_wrist_y_mm,generated_wrist_z_mm,target_wrist_x_mm,target_wrist_y_mm,target_wrist_z_mm,wrist_error_mm,L6_mm
31,0.40789473684210525,-586.2716559895443,111.8227236152552,450.85112421140855,-514.2765354777456,31.3980956802502,576.9703405285345,23.561586058446277,-286.9609919128748,-87.21376549566119,130.3247735242539,-260.32799251308813,-72.4730175569577,180.00717782949783,32.90799085183965,246.52769841674956
32,0.42105263157894735,-612.9696886918451,115.25007181502143,410.14601798828073,-524.0432429052224,61.58230097751691,555.2316037860592,32.54826475688411,-293.49784005661314,-90.36842163722264,114.06743524151175,-265.59014861350335,-75.7480401299453,171.6053363863081,37.74082992439216,246.52843438220467
33,0.4342105263157895,-640.5682166161017,117.18463757916021,364.4314006828341,-537.6829539151843,84.54071577637315,528.6608911700248,37.10070353066864,-299.44436250435257,-93.2147186344545,96.6791121932783,-271.51618169638766,-79.1704566234356,161.4143009872268,40.778418573532115,246.52774434969805
34,0.4473684210526316,-667.3151255098442,119.38605239392054,312.94918521887257,-554.9100205596808,99.59264013687904,499.30639333989717,36.79468301125,-304.5736171538978,-95.73901540988822,78.50103603258015,-277.6730095732786,-82.49739705317482,149.86557843095147,42.60895645407668,246.52720895273353
35,0.4605263157894737,-691.4232458810884,122.92254765551127,255.3294457309469,-574.4031470063513,108.24236453933105,468.8467480410175,33.59084292050322,-308.7240282311383,-97.94238463347932,59.9423036056903,-283.59502590755113,-85.53029927782279,137.61821180434544,43.87242122445753,246.52854384978863
36,0.47368421052631576,-711.1672381041557,128.1020274315669,191.62398828302645,-594.7558661241766,112.91188035783662,437.9156889079759,30.224140536770243,-311.8206246031113,-99.8379992797461,41.44488776364647,-289.03829827803173,-88.21626503957735,125.15845000676498,44.84422012507059,246.53347075256522
37,0.4868421052631579,-724.9809801594705,134.4282202181276,122.32373037407362,-615.1217460634476,115.40092393746038,406.5813177465803,28.394825279523328,-313.8818280930263,-101.44772799728426,23.441376848849455,-293.96153353708354,-90.5903680559401,112.71154159028308,45.53483440109184,246.54358497813965
38,0.5,-731.588872182843,140.62942202232136,48.40870039321545,-634.5606355781139,116.7635259664946,374.38244839221915,28.855985087738834,-315.01006502645066,-102.79830815715813,6.315110222588419,-298.14993783079564,-92.59514356450944,100.46416044344826,46.10322214094588,246.56022821837286
39,0.5131578947368421,-730.1862567092484,144.81786560737245,-28.58431201381999,-652.620753814493,118.17662637492703,341.2327828761927,30.493764085114893,-315.3696486238464,-103.91747605034615,-9.62874268422349,-301.7556775317922,-94.35220262957934,88.48781278023617,46.37007757015441,246.58437496912484
40,0.5263157894736842,-720.6330258016969,144.81729800430264,-106.54630323162937,-669.6293850495803,119.7255383335266,307.4179770726706,31.884678123685703,-315.15868073643395,-104.83040403677506,-24.17684210390466,-304.9720359555887,-95.95052788646184,76.71949010934135,46.16786738940623,246.61654027745618
41,0.5394736842105263,-703.5727976042522,138.63005478527012,-182.90732578961513,-684.3139636183666,121.87966489865332,272.321023075681,32.749685534060866,-314.5819551867883,-105.5567342682056,-37.2067214533109,-307.5001068552676,-97.29262955103053,65.4151179615727,45.747839590317554,246.65671519368638
42,0.5526315789473685,-680.3944101524171,124.93271561157601,-254.89445749554199,-697.263280502167,124.45457526520622,236.48614024114624,32.44614735752596,-313.82967963887324,-106.10842066302001,-48.67531510663091,-309.63996406698715,-98.50308456879878,54.470991233929155,44.894536569419685,246.7043346337924
43,0.5657894736842105,-653.0250523720542,103.44934494092828,-319.8912483357086,-708.5840848341381,127.42438382386348,199.9587241796653,30.836153564293642,-313.0638888429246,-106.48850705788466,-58.60216812320216,-311.4154895648772,-99.5899915254442,43.864948492976836,43.6752041778635,246.75828036866903
44,0.5789473684210527,-623.6213502019122,75.07589620369313,-375.8242783122551,-716.9682482761673,130.75867966656543,162.52170018157815,28.42130708890385,-312.41205968001435,-106.69088852178218,-67.05176129696669,-312.68621644373655,-100.51399660380395,33.88440563429636,42.21906985346228,246.816919682077
